ds,trend,confirmed,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,country
2021-01-27,162.39447200629303,477,220,732,160.55394074191346,166.59161134583567,0.0,0.0,0.0,0.0,0.0,0.0,1.9367935483902634,1.9367935483902634,1.9367935483902634,1.9367935483902634,1.9367935483902634,1.9367935483902634,Bangladesh
2021-01-28,154.46169356883587,448,187,701,148.84205174823484,162.7896036712766,0.0,0.0,0.0,0.0,0.0,0.0,1.9001117775974687,1.9001117775974687,1.9001117775974687,1.9001117775974687,1.9001117775974687,1.9001117775974687,Bangladesh
2021-01-29,146.52891513137828,409,115,681,137.25795093550516,159.31589509527728,0.0,0.0,0.0,0.0,0.0,0.0,1.7893653911079788,1.7893653911079788,1.7893653911079788,1.7893653911079788,1.7893653911079788,1.7893653911079788,Bangladesh
2021-01-30,138.59613669392115,346,83,622,123.03211108385544,157.54117928725157,0.0,0.0,0.0,0.0,0.0,0.0,1.497295573312523,1.497295573312523,1.497295573312523,1.497295573312523,1.497295573312523,1.497295573312523,Bangladesh
2021-01-24,670.2528368284818,1798,1723,1877,670.2528368284818,670.2528368284818,0.0,0.0,0.0,0.0,0.0,0.0,1.6822917041803687,1.6822917041803687,1.6822917041803687,1.6822917041803687,1.6822917041803687,1.6822917041803687,Belarus
2021-01-25,668.5406054568942,1727,1657,1808,668.5406054568942,668.5406054568942,0.0,0.0,0.0,0.0,0.0,0.0,1.5836003556241274,1.5836003556241274,1.5836003556241274,1.5836003556241274,1.5836003556241274,1.5836003556241274,Belarus
2021-01-26,666.8283740853067,1619,1543,1691,666.353116234491,666.8752311268681,0.0,0.0,0.0,0.0,0.0,0.0,1.4285985479625922,1.4285985479625922,1.4285985479625922,1.4285985479625922,1.4285985479625922,1.4285985479625922,Belarus
2021-01-27,665.116142713719,1726,1653,1796,663.2618394921022,666.659764352025,0.0,0.0,0.0,0.0,0.0,0.0,1.59538476348949,1.59538476348949,1.59538476348949,1.59538476348949,1.59538476348949,1.59538476348949,Belarus
2021-01-28,663.4039113421313,1738,1664,1814,660.0130402834784,666.641058994782,0.0,0.0,0.0,0.0,0.0,0.0,1.6200909139573851,1.6200909139573851,1.6200909139573851,1.6200909139573851,1.6200909139573851,1.6200909139573851,Belarus
2021-01-29,661.6916799705439,1757,1673,1838,656.4539728715915,667.4180544603404,0.0,0.0,0.0,0.0,0.0,0.0,1.6558345087766542,1.6558345087766542,1.6558345087766542,1.6558345087766542,1.6558345087766542,1.6558345087766542,Belarus
2021-01-30,659.9794485989562,1768,1689,1851,653.0763805994915,668.4568884288593,0.0,0.0,0.0,0.0,0.0,0.0,1.6794560715822915,1.6794560715822915,1.6794560715822915,1.6794560715822915,1.6794560715822915,1.6794560715822915,Belarus
2021-01-24,715.1570500115847,1942,1016,2773,715.1570500115847,715.1570500115847,0.0,0.0,0.0,0.0,0.0,0.0,1.7153245478461436,1.7153245478461436,1.7153245478461436,1.7153245478461436,1.7153245478461436,1.7153245478461436,Belgium
2021-01-25,718.0986716924024,1405,481,2370,718.0986716924024,718.0986716924024,0.0,0.0,0.0,0.0,0.0,0.0,0.9567487674817049,0.9567487674817049,0.9567487674817049,0.9567487674817049,0.9567487674817049,0.9567487674817049,Belgium
2021-01-26,721.04029337322,1591,659,2489,720.4169026832601,721.04029337322,0.0,0.0,0.0,0.0,0.0,0.0,1.2065284014726012,1.2065284014726012,1.2065284014726012,1.2065284014726012,1.2065284014726012,1.2065284014726012,Belgium
2021-01-27,723.9819150540376,2580,1532,3561,701.3614953536475,731.385556299668,0.0,0.0,0.0,0.0,0.0,0.0,2.563912009461613,2.563912009461613,2.563912009461613,2.563912009461613,2.563912009461613,2.563912009461613,Belgium
2021-01-28,726.9235367348552,2779,1759,3813,675.9822707069211,747.3310715924734,0.0,0.0,0.0,0.0,0.0,0.0,2.822559214629825,2.822559214629825,2.822559214629825,2.822559214629825,2.822559214629825,2.822559214629825,Belgium
2021-01-29,729.8651584156727,2569,1469,3603,646.2756121010249,778.6344040007303,0.0,0.0,0.0,0.0,0.0,0.0,2.519185508692701,2.519185508692701,2.519185508692701,2.519185508692701,2.519185508692701,2.519185508692701,Belgium
2021-01-30,732.8067800964903,2462,1381,3481,606.939083972963,811.1002419594743,0.0,0.0,0.0,0.0,0.0,0.0,2.360264512393613,2.360264512393613,2.360264512393613,2.360264512393613,2.360264512393613,2.360264512393613,Belgium
2021-01-24,29283.67936450002,30880,23288,38613,29283.67936450002,29283.67936450002,0.0,0.0,0.0,0.0,0.0,0.0,0.05451468576695002,0.05451468576695002,0.05451468576695002,0.05451468576695002,0.05451468576695002,0.05451468576695002,Brazil
2021-01-25,29437.318843691617,29113,21512,36977,29437.318843691617,29437.318843691617,0.0,0.0,0.0,0.0,0.0,0.0,-0.01103273042177844,-0.01103273042177844,-0.01103273042177844,-0.01103273042177844,-0.01103273042177844,-0.01103273042177844,Brazil
2021-01-26,29590.958322883213,60917,53215,68727,29588.983230257872,29591.041470418957,0.0,0.0,0.0,0.0,0.0,0.0,1.0586348998585,1.0586348998585,1.0586348998585,1.0586348998585,1.0586348998585,1.0586348998585,Brazil
2021-01-27,29744.597802074815,69009,61303,77038,29719.72389622108,29760.828216290727,0.0,0.0,0.0,0.0,0.0,0.0,1.320047471478897,1.320047471478897,1.320047471478897,1.320047471478897,1.320047471478897,1.320047471478897,Brazil
